timestamp,light_id,car_count
2024-05-15T08:00:00,101,55
2024-05-15T08:00:10,205,30
2024-05-15T08:00:20,310,80
2024-05-15T08:00:30,101,60
2024-05-15T08:00:40,402,15
2024-05-15T08:00:50,205,45
2024-05-15T08:01:00,310,70
2024-05-15T08:01:10,101,100
2024-05-15T08:01:20,550,20
2024-05-15T08:01:30,402,25
2024-05-15T08:01:40,101,50
2024-05-15T08:01:50,550,35
2024-05-15T08:02:00,205,60
2024-05-15T08:02:10,310,90
2024-05-15T08:02:20,402,30
2024-05-15T08:02:30,101,15
2024-05-15T08:02:40,550,10
2024-05-15T08:02:50,205,25
2024-05-15T08:03:00,310,40
2024-05-15T08:03:10,101,75
2024-05-15T08:03:20,205,82
2024-05-15T08:03:30,310,12
2024-05-15T08:03:40,402,77
2024-05-15T08:03:50,550,45
2024-05-15T08:04:00,101,91
2024-05-15T08:04:10,205,18
2024-05-15T08:04:20,310,63
2024-05-15T08:04:30,402,36
2024-05-15T08:04:40,550,59
2024-05-15T08:04:50,101,23
2024-05-15T08:05:00,205,94
2024-05-15T08:05:10,310,10
2024-05-15T08:05:20,402,48
2024-05-15T08:05:30,550,66
2024-05-15T08:05:40,101,71
2024-05-15T08:05:50,205,29
2024-05-15T08:06:00,310,54
2024-05-15T08:06:10,402,99
2024-05-15T08:06:20,550,33
2024-05-15T08:06:30,101,47
2024-05-15T08:06:40,205,78
2024-05-15T08:06:50,310,22
2024-05-15T08:07:00,402,88
2024-05-15T08:07:10,550,41
2024-05-15T08:07:20,101,65
2024-05-15T08:07:30,205,51
2024-05-15T08:07:40,310,74
2024-05-15T08:07:50,402,14
2024-05-15T08:08:00,550,96
2024-05-15T08:08:10,101,38
2024-05-15T08:08:20,205,68
2024-05-15T08:08:30,310,27
2024-05-15T08:08:40,402,59
2024-05-15T08:08:50,550,73
2024-05-15T08:09:00,101,11
2024-05-15T08:09:10,205,43
2024-05-15T08:09:20,310,85
2024-05-15T08:09:30,402,26
2024-05-15T08:09:40,550,90
2024-05-15T08:09:50,101,31
2024-05-15T08:10:00,205,67
2024-05-15T08:10:10,310,19
2024-05-15T08:10:20,402,52
2024-05-15T08:10:30,550,77
2024-05-15T08:10:40,101,40
2024-05-15T08:10:50,205,83
2024-05-15T08:11:00,310,13
2024-05-15T08:11:10,402,69
2024-05-15T08:11:20,550,34
2024-05-15T08:11:30,101,98
2024-05-15T08:11:40,205,21
2024-05-15T08:11:50,310,57
2024-05-15T08:12:00,402,72
2024-05-15T08:12:10,550,16
2024-05-15T08:12:20,101,89
2024-05-15T08:12:30,205,46
2024-05-15T08:12:40,310,93
2024-05-15T08:12:50,402,17
2024-05-15T08:13:00,550,61
2024-05-15T08:13:10,101,24
2024-05-15T08:13:20,205,79
2024-05-15T08:13:30,310,32
2024-05-15T08:13:40,402,84
2024-05-15T08:13:50,550,53
2024-05-15T08:14:00,101,62
2024-05-15T08:14:10,205,15
2024-05-15T08:14:20,310,76
2024-05-15T08:14:30,402,28
2024-05-15T08:14:40,550,95
2024-05-15T08:14:50,101,37
2024-05-15T08:15:00,205,64
2024-05-15T08:15:10,310,18
2024-05-15T08:15:20,402,50
2024-05-15T08:15:30,550,75
2024-05-15T08:15:40,101,42
2024-05-15T08:15:50,205,86
2024-05-15T08:16:00,310,14
2024-05-15T08:16:10,402,70
2024-05-15T08:16:20,550,35
2024-05-15T08:16:30,101,99
2024-05-15T08:16:40,205,20
2024-05-15T08:16:50,310,56
2024-05-15T08:17:00,402,71
2024-05-15T08:17:10,550,15
2024-05-15T08:17:20,101,88
2024-05-15T08:17:30,205,47
